"timestamp,qps,cpu,p95_latency"
"2024-01-01 00:00,1200,0.42,180"
"2024-01-01 01:00,1180,0.40,175"
"2024-01-01 02:00,1150,0.39,170"
"2024-01-01 03:00,1130,0.38,168"
"2024-01-01 04:00,1120,0.37,165"
"2024-01-01 05:00,1160,0.39,172"
"2024-01-01 06:00,1300,0.48,210"
"2024-01-01 07:00,1500,0.55,260"
"2024-01-01 08:00,1650,0.60,310"
"2024-01-01 09:00,1700,0.62,330"
"2024-01-01 10:00,1680,0.61,320"
"2024-01-01 11:00,1600,0.58,290"
"2024-01-01 12:00,1550,0.56,270"
"2024-01-01 13:00,1580,0.57,275"
"2024-01-01 14:00,1620,0.59,285"
"2024-01-01 15:00,1800,0.68,360"
"2024-01-01 16:00,1850,0.70,380"
"2024-01-01 17:00,1900,0.72,410"
"2024-01-01 18:00,1750,0.65,340"
"2024-01-01 19:00,1600,0.58,290"
"2024-01-01 20:00,1500,0.55,260"
"2024-01-01 21:00,1450,0.53,245"
"2024-01-01 22:00,1380,0.50,230"
"2024-01-01 23:00,1300,0.47,210"
